iter	Logloss
0	0.6203974642
1	0.5666194912
2	0.5263113218
3	0.494546933
4	0.469008449
5	0.4489000547
6	0.4340421356
7	0.4220027349
8	0.4113256275
9	0.4031602851
10	0.3959189711
11	0.3903582597
12	0.3859151302
13	0.381629947
14	0.3786780794
15	0.3761806648
16	0.3736778541
17	0.3711691775
18	0.3692945095
19	0.3676927163
20	0.3663629421
21	0.3648816836
22	0.3636256585
23	0.3624778568
24	0.3611694319
25	0.3601841837
26	0.3593060176
27	0.3585066862
28	0.3576960171
29	0.3570035664
30	0.3561670583
31	0.3554529227
32	0.3549010886
33	0.3543856508
34	0.3538084058
35	0.3530957807
36	0.3527373323
37	0.3522987654
38	0.3518832765
39	0.3514981668
40	0.3510618741
41	0.3505920469
42	0.3502395149
43	0.3499112275
44	0.349503795
45	0.3492022362
46	0.3487783805
47	0.3483701255
48	0.3480206399
49	0.3477280941
50	0.3473733382
51	0.3471246156
52	0.3468489713
53	0.3465185188
54	0.3461770475
55	0.3460040376
56	0.3457929028
57	0.3455230491
58	0.3451286829
59	0.3448203517
60	0.3445660903
61	0.344350172
62	0.344159455
63	0.3438299508
64	0.3435860535
65	0.3433010018
66	0.3429847402
67	0.3426509308
68	0.3424143094
69	0.3421635979
70	0.3418384994
71	0.341653447
72	0.3414079888
73	0.3411361294
74	0.3408073133
75	0.340593451
76	0.3403943252
77	0.3402380826
78	0.3399308592
79	0.3397119617
80	0.3394971009
81	0.3392802595
82	0.3390550932
83	0.3387990359
84	0.3386705457
85	0.3383201705
86	0.33808725
87	0.3378212734
88	0.3376109442
89	0.337430843
90	0.3372426604
91	0.3369664035
92	0.3368039089
93	0.3366324767
94	0.3364244889
95	0.3362535938
96	0.3361199257
97	0.3359234266
98	0.3357654216
99	0.3355599095
100	0.3354010318
101	0.3352801783
102	0.335045336
103	0.3348417457
104	0.3345165213
105	0.3343355223
106	0.3341602465
107	0.3339966022
108	0.3338527294
109	0.3336482578
110	0.3334359481
111	0.3333088426
112	0.3331360677
113	0.3329751172
114	0.3328470046
115	0.3326732227
116	0.332547804
117	0.3323695155
118	0.3322408994
119	0.3320599675
120	0.3318489418
121	0.3316326375
122	0.3314178521
123	0.3312962434
124	0.3311126008
125	0.3309551246
126	0.3307887444
127	0.3305224992
128	0.3302891927
129	0.330098098
130	0.329980786
131	0.3297231426
132	0.3296276498
133	0.3294081649
134	0.3291652747
135	0.3289391266
136	0.3288088405
137	0.3285860491
138	0.3284617969
139	0.328309188
140	0.3279649138
141	0.3278100979
142	0.3276388419
143	0.3274790747
144	0.3272607731
145	0.3270948545
146	0.3268482718
147	0.3267320507
148	0.326590813
149	0.3263931642
150	0.3262239475
151	0.3259448205
152	0.325715945
153	0.3255595177
154	0.3253644536
155	0.3252503054
156	0.3251084635
157	0.3249957251
158	0.3248455583
159	0.3245935963
160	0.3245027695
161	0.3242533335
162	0.3240988532
163	0.3239495005
164	0.3237880128
165	0.3237034045
166	0.3234672531
167	0.3232626808
168	0.3231308674
169	0.3229114161
170	0.3227414273
171	0.3226008778
172	0.3224705749
173	0.3222228425
174	0.3220724659
175	0.3219782487
176	0.3218059186
177	0.321682195
178	0.3215223271
179	0.3213957838
180	0.3212740576
181	0.3211442162
182	0.320969293
183	0.3208404755
184	0.3207090397
185	0.3206318919
186	0.320476564
187	0.320335234
188	0.3201645319
189	0.320023504
190	0.3198757541
191	0.3197278532
192	0.3195921878
193	0.3194086292
194	0.319294825
195	0.3191655543
196	0.3189798222
197	0.318818922
198	0.3187202738
199	0.3185872351
200	0.3184490018
201	0.3183138399
202	0.3181939935
203	0.3180731568
204	0.3179394971
205	0.317825567
206	0.3176888946
207	0.3175661194
208	0.3174551097
209	0.3173407181
210	0.3172182534
211	0.317104852
212	0.3169935319
213	0.3168886904
214	0.3167440875
215	0.3166592274
216	0.3165234949
217	0.3163687293
218	0.316216775
219	0.3160779206
220	0.3159468625
221	0.3158204703
222	0.3157064227
223	0.3155790067
224	0.3154866357
225	0.3154012134
226	0.3152635675
227	0.3151541859
228	0.3150068892
229	0.3148784913
230	0.3147949907
231	0.3146874721
232	0.3145938088
233	0.3144375662
234	0.3143475282
235	0.3142040247
236	0.3140993762
237	0.3139838601
238	0.3138568385
239	0.3137409447
240	0.313648708
241	0.3135473324
242	0.3133889163
243	0.3132721329
244	0.3131396649
245	0.3130576497
246	0.3129257775
247	0.3128248047
248	0.3127007371
249	0.3125371766
250	0.3123626982
251	0.3122376151
252	0.3121531746
253	0.3120349814
254	0.3119203884
255	0.3117986622
256	0.3117240907
257	0.3116220605
258	0.3115188303
259	0.3114034484
260	0.3112630667
261	0.3111721056
262	0.3110505724
263	0.3109054576
264	0.3107961431
