iter	Passed	Remaining
0	103	207029
1	168	168636
2	232	154896
3	291	145631
4	377	150612
5	434	144532
6	501	142836
7	571	142362
8	634	140333
9	690	137501
10	754	136373
11	833	138088
12	925	141535
13	986	139924
14	1048	138692
15	1105	137085
16	1171	136638
17	1246	137292
18	1318	137485
19	1380	136700
20	1457	137339
21	1528	137467
22	1596	137255
23	1673	137760
24	1744	137790
25	1809	137411
26	1871	136729
27	1933	136178
28	2004	136256
29	2080	136631
30	2153	136799
31	2213	136150
32	2314	137955
33	2436	140914
34	2586	145207
35	2720	148427
36	2864	151984
37	3033	156612
38	3283	165080
39	3610	176932
40	3845	183717
41	4067	189622
42	4315	196428
43	4493	199776
44	4693	203900
45	4847	205923
46	4916	204277
47	5010	203740
48	5131	204303
49	5226	203824
50	5305	202734
51	5386	201771
52	5486	201538
53	5612	202247
54	5720	202288
55	5814	201843
56	5913	201564
57	6030	201911
58	6125	201528
59	6221	201174
60	6301	200315
61	6383	199521
62	6457	198527
63	6531	197587
64	6619	197049
65	6693	196147
66	6761	195082
67	6837	194278
68	6929	193926
69	7011	193314
70	7089	192601
71	7191	192579
72	7276	192088
73	7362	191619
74	7438	190925
75	7514	190226
76	7575	189188
77	7655	188640
78	7755	188582
79	7888	189325
80	8058	190913
81	8280	193672
82	8522	196830
83	8778	200232
84	8976	202226
85	9132	203256
86	9697	213231
87	9951	216212
88	10167	218318
89	10331	219250
90	10414	218481
91	10496	217691
92	10582	217001
93	10669	216339
94	10739	215360
95	10800	214200
96	10865	213159
97	10948	212487
98	11021	211640
99	11083	210584
100	11152	209686
101	11231	208991
102	11306	208243
103	11383	207530
104	11452	206694
105	11513	205718
106	11575	204791
107	11654	204165
108	11731	203530
109	11807	202867
110	11912	202723
111	12036	202908
112	12139	202713
113	12216	202116
114	12296	201561
115	12383	201121
116	12460	200542
117	12541	200018
118	12620	199484
119	12690	198825
120	12756	198095
121	12847	197769
122	12987	198192
123	13075	197820
124	13193	197904
125	13427	199702
126	13582	200311
127	13943	203929
128	14207	206067
129	14394	207062
130	14554	207657
131	14937	211391
132	15098	211953
133	15258	212483
134	15409	212875
135	15600	213818
136	15812	215028
137	16198	218562
138	16279	217956
139	16345	217165
140	16406	216311
141	16461	215395
142	16519	214521
143	16578	213673
144	16641	212899
145	16710	212203
146	16798	211758
147	16870	211112
148	16932	210351
149	16999	209659
150	17064	208955
151	17130	208267
152	17188	207495
153	17249	206770
154	17325	206226
155	17399	205674
156	17462	204992
157	17532	204393
158	17608	203880
159	17684	203373
160	17739	202624
161	17823	202218
162	17902	201758
163	17968	201154
164	18036	200592
165	18106	200042
166	18187	199628
167	18252	199039
168	18333	198627
169	18412	198208
170	18477	197629
171	18537	197018
172	18612	196565
173	18694	196183
174	18762	195670
175	18825	195100
176	18897	194631
177	18972	194203
178	19052	193825
179	19114	193265
180	19176	192718
181	19296	192756
182	19447	193095
183	19593	193374
184	19748	193745
185	19873	193815
186	20026	194163
187	20158	194292
188	20316	194669
189	20461	194925
190	20606	195167
191	20784	195718
192	20931	195974
193	21265	197969
194	21554	199519
195	21744	200136
196	22064	201942
197	22208	202119
198	22270	201555
199	22332	200990
200	22402	200508
201	22490	200183
202	22565	199751
203	22661	199513
204	22748	199189
205	22816	198701
206	22888	198258
207	22973	197929
208	23081	197792
209	23161	197427
210	23239	197043
211	23329	196757
212	23432	196592
213	23496	196093
214	23563	195634
215	23624	195118
216	23691	194659
217	23809	194623
218	23939	194686
219	24138	195300
220	24223	194994
221	24296	194587
222	24360	194116
223	24436	193743
224	24534	193551
225	24631	193346
226	24719	193070
227	24794	192701
228	24872	192356
229	24952	192029
230	25038	191745
231	25139	191579
232	25288	191780
233	25420	191849
234	25564	192009
235	26088	194998
236	26254	195302
237	26578	196766
238	26826	197661
239	27081	198595
240	27274	199068
241	27430	199266
242	28173	203707
243	28256	203352
244	28334	202967
245	28405	202533
246	28476	202105
247	28553	201714
248	28639	201395
249	28734	201140
250	28818	200812
251	28905	200504
252	28985	200151
253	29078	199884
254	29300	200504
255	29475	200798
256	29745	201738
257	29901	201895
258	30047	201982
259	30251	202451
260	30378	202404
261	30500	202326
262	30703	202786
263	30848	202853
264	30988	202885
265	31278	203898
266	31994	207663
267	32761	211725
268	33589	216144
269	34048	218161
270	34173	218031
271	34337	218141
272	34474	218086
273	34654	218299
274	34790	218228
275	34944	218275
276	35030	217896
277	35098	217411
278	35183	217025
279	35273	216682
280	35361	216320
281	35431	215856
282	35503	215402
283	35581	214994
284	35670	214648
285	35754	214277
286	35831	213864
287	35905	213436
288	35974	212983
289	36060	212635
290	36156	212343
291	36236	211959
292	36317	211582
293	36389	211160
294	36467	210768
295	36558	210458
296	36648	210141
297	36728	209769
298	36799	209351
299	36871	208937
300	36958	208615
301	37111	208660
302	37246	208606
303	37402	208668
304	37647	209223
305	37864	209615
306	38056	209865
307	38253	210145
308	38412	210214
309	38570	210270
310	38765	210532
311	38960	210783
312	39191	211235
313	39383	211466
314	39610	211884
315	39892	212593
316	40033	212545
317	40105	212130
318	40166	211661
319	40228	211197
320	40281	210695
321	40350	210272
322	40412	209818
323	40486	209430
324	40552	209001
325	40628	208625
326	40718	208322
327	40800	207982
328	40875	207609
329	40940	207183
330	41015	206811
331	41085	206419
332	41160	206050
333	41234	205677
334	41306	205299
335	41388	204969
336	41473	204659
337	41539	204257
338	41605	203855
339	41677	203486
340	41747	203104
341	41819	202740
342	41881	202324
343	41954	201966
344	42022	201584
345	42100	201253
346	42190	200984
347	42269	200656
348	42342	200305
349	42432	200037
350	42509	199707
351	42596	199427
352	42692	199189
353	42806	199038
354	42902	198803
355	43022	198675
356	43181	198732
357	43372	198930
358	43524	198952
359	43721	199174
360	43877	199211
361	44043	199289
362	44218	199410
363	44370	199424
364	44559	199600
365	44714	199628
366	44907	199820
367	45061	199836
368	45231	199925
369	45407	200036
370	45640	200397
371	45961	201145
372	46019	200732
373	46103	200437
374	46190	200160
375	46255	199783
376	46318	199403
377	46379	199015
378	46440	198630
379	46519	198321
380	46608	198055
381	46699	197801
382	46791	197550
383	46870	197248
384	46958	196980
385	47055	196755
386	47123	196409
387	47214	196159
388	47300	195890
389	47477	195998
390	47704	196309
391	47994	196876
392	48304	197519
393	48471	197575
394	48629	197596
395	48865	197929
396	49207	198690
397	49601	199651
398	50266	201697
399	50734	202938
400	51156	203989
401	51893	206281
402	52012	206114
403	52139	205978
404	52302	205981
405	52452	205934
406	52590	205837
407	52782	205955
408	52888	205735
409	52972	205429
410	53061	205143
411	53127	204771
412	53196	204411
413	53259	204031
414	53346	203745
415	53425	203429
416	53495	203079
417	53560	202709
418	53633	202372
419	53712	202062
420	53796	201770
421	53869	201435
422	53931	201061
423	54002	200727
424	54076	200399
425	54171	200154
426	54254	199863
427	54325	199530
428	54391	199180
429	54456	198829
430	54525	198492
431	54605	198198
432	54694	197935
433	54765	197609
434	54830	197265
435	54895	196919
436	55019	196785
437	55349	197386
438	55662	197924
439	55963	198415
440	56094	198302
441	56568	199397
442	56704	199299
443	57016	199815
444	57135	199652
445	57316	199709
446	57640	200258
447	57950	200755
448	58120	200769
449	58185	200416
450	58254	200080
451	58341	199807
452	58414	199485
453	58479	199139
454	58563	198857
455	58639	198551
456	58698	198189
457	58761	197839
458	58838	197537
459	58917	197246
460	58993	196944
461	59057	196602
462	59144	196340
463	59250	196138
464	59333	195864
465	59412	195575
466	59489	195285
467	59584	195048
468	59671	194792
469	59757	194530
470	59830	194227
471	59903	193926
472	59977	193627
473	60075	193409
474	60164	193160
475	60233	192847
476	60300	192533
477	60361	192198
478	60442	191927
